"","Output","V65","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"1451","5",5,0,0,8,9,8,12,8,0,0,0,12,14,10,8,5,0,0,1,14,2,0,0,0,0,0,6,16,12,12,8,0,0,0,1,4,4,7,15,7,0,0,0,0,0,0,10,7,0,0,1,12,4,9,15,1,0,0,0,9,16,14,3,0,0
"1452","0",0,0,0,2,15,5,0,0,0,0,0,11,16,16,6,0,0,0,3,14,3,7,16,3,0,0,7,8,0,0,8,8,0,0,5,8,0,0,4,8,0,0,4,12,0,0,8,8,0,0,0,14,9,8,16,2,0,0,0,3,14,15,6,0,0
"1453","9",9,0,0,9,12,13,6,0,0,0,0,16,8,8,15,2,0,0,0,16,10,9,16,5,0,0,0,4,12,11,12,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,9,7,0,0,0,8,4,7,16,2,0,0,0,10,16,16,7,0,0
"1454","2",8,0,0,1,12,12,4,1,0,0,0,13,13,13,14,8,0,0,6,15,0,0,12,7,0,0,2,16,13,12,13,1,0,0,0,0,14,16,9,0,0,0,0,6,10,2,16,0,0,0,0,11,8,5,16,0,0,0,0,3,12,16,7,0,0
"1455","9",9,0,1,14,16,14,8,0,0,0,5,12,5,14,9,0,0,0,2,15,9,13,12,0,0,0,0,3,8,8,16,2,0,0,0,0,0,0,11,6,0,0,0,4,0,0,8,8,0,0,4,14,4,5,14,7,0,0,1,13,16,16,10,1,0
"1456","8",8,0,0,2,11,13,5,0,0,0,0,16,10,13,16,7,0,0,0,14,10,0,10,11,0,0,0,4,14,16,13,1,0,0,0,0,11,13,12,1,0,0,0,8,10,2,14,3,0,0,0,10,10,3,15,1,0,0,0,2,15,16,6,0,0
"1457","4",4,0,0,0,5,15,2,0,0,0,0,0,14,10,2,0,0,0,0,12,14,4,15,0,0,0,6,16,4,9,15,8,0,0,14,15,11,15,16,9,0,0,7,15,15,16,11,0,0,0,0,0,3,16,6,0,0,0,0,0,6,16,2,0,0
"1458","9",1,0,0,0,0,7,16,6,0,0,0,0,4,16,16,4,0,0,2,11,15,16,16,7,0,0,10,16,13,10,16,4,0,0,1,3,0,4,16,5,0,0,0,0,0,7,16,7,0,0,0,0,0,9,16,8,0,0,0,0,0,9,16,6,0
"1459","4",7,0,0,3,15,16,16,5,0,0,0,10,12,10,16,6,0,0,2,15,2,3,16,1,0,0,0,2,3,10,13,2,0,0,0,3,16,16,16,10,0,0,0,0,12,13,7,1,0,0,0,1,16,6,0,0,0,0,0,5,14,2,0,0,0
"1460","4",7,0,0,1,13,16,10,0,0,0,0,8,14,13,14,0,0,0,1,15,5,5,15,0,0,0,7,12,0,9,11,0,0,0,1,2,11,15,16,7,0,0,0,4,15,16,9,1,0,0,0,0,10,11,0,0,0,0,0,1,15,7,0,0,0
"1461","3",3,0,0,8,13,12,3,0,0,0,6,15,7,9,12,0,0,0,0,0,0,7,11,0,0,0,0,0,4,15,3,0,0,0,0,0,10,16,9,0,0,0,0,0,0,4,15,7,0,0,0,11,2,1,15,7,0,0,0,8,16,16,12,0,0
"1462","5",5,0,0,14,12,12,13,0,0,0,1,16,8,8,6,0,0,0,4,15,8,4,0,0,0,0,2,12,12,15,13,1,0,0,0,0,0,1,13,8,0,0,0,0,0,0,11,7,0,0,5,14,4,7,15,2,0,0,1,10,16,15,5,0,0
"1463","1",1,0,0,0,0,3,14,3,0,0,0,0,1,14,16,5,0,0,1,9,15,16,16,4,0,0,4,12,7,3,16,4,0,0,0,0,0,4,16,4,0,0,0,0,0,4,16,4,0,0,0,0,0,6,16,4,0,0,0,0,0,5,16,4,0
"1464","0",0,0,0,3,12,8,1,0,0,0,0,14,16,16,15,1,0,0,3,15,2,1,12,4,0,0,6,9,0,0,7,8,0,0,7,8,0,0,5,8,0,0,4,12,0,0,9,6,0,0,0,15,11,9,16,2,0,0,0,3,11,15,7,0,0
"1465","0",0,0,0,3,13,9,1,0,0,0,0,13,14,15,13,0,0,0,2,14,1,2,13,4,0,0,4,8,0,0,5,8,0,0,4,8,0,0,4,8,0,0,4,10,0,0,5,8,0,0,0,14,11,10,14,5,0,0,0,4,12,13,9,0,0
"1466","2",2,0,3,15,16,6,0,0,0,0,11,15,12,15,0,0,0,0,2,2,2,16,4,0,0,0,0,0,0,16,4,0,0,0,0,0,5,16,1,0,0,0,0,0,11,15,4,1,0,0,1,10,16,16,16,11,0,0,4,16,14,12,8,3,0
"1467","2",2,0,1,15,15,2,0,0,0,0,7,14,13,9,0,0,0,0,9,9,6,13,0,0,0,0,1,0,8,12,0,0,0,0,0,0,8,12,0,0,0,0,0,0,11,6,0,0,0,0,0,7,16,16,16,7,0,0,0,16,15,12,12,3,0
"1468","4",7,0,0,0,8,16,16,16,6,0,0,6,14,5,8,16,2,0,0,7,4,0,6,12,0,0,0,0,0,0,12,6,0,0,0,0,11,16,16,10,0,0,0,0,12,16,8,0,0,0,0,0,6,16,0,0,0,0,0,0,12,9,0,0,0
"1469","5",8,0,0,0,4,14,14,1,0,0,0,3,14,12,10,4,0,0,3,13,4,0,8,6,0,0,3,15,9,2,15,1,0,0,0,2,10,16,13,0,0,0,0,0,0,12,14,4,0,0,0,0,2,12,9,3,0,0,0,0,2,16,14,0,0
"1470","2",2,0,5,16,15,3,0,0,0,0,11,14,11,11,0,0,0,0,8,11,4,16,0,0,0,0,0,0,4,13,0,0,0,0,0,0,8,12,0,0,0,0,0,0,13,9,5,1,0,0,1,11,16,16,16,10,0,0,5,16,14,8,6,1,0
"1471","0",0,0,0,11,16,10,1,0,0,0,1,15,14,15,11,0,0,0,7,14,1,4,16,3,0,0,7,13,0,0,10,11,0,0,9,12,0,0,8,12,0,0,5,14,0,0,7,13,0,0,1,16,10,5,15,8,0,0,0,7,16,16,15,0,0
"1472","9",1,0,0,0,1,8,16,2,0,0,0,5,13,16,16,0,0,0,11,16,15,12,16,0,0,0,3,8,1,8,16,0,0,0,0,0,0,8,16,3,0,0,0,0,0,8,16,4,0,0,0,0,0,7,16,7,0,0,0,0,0,10,16,8,0
"1473","2",2,0,1,15,15,3,0,0,0,0,8,15,12,14,0,0,0,0,8,8,6,16,0,0,0,0,0,0,8,15,0,0,0,0,0,0,12,12,0,0,0,0,0,1,16,10,10,5,0,0,1,13,16,16,16,11,0,0,3,16,12,8,5,1,0
"1474","6",6,0,0,0,13,1,0,0,0,0,0,10,12,1,0,0,0,0,0,14,3,0,0,0,0,0,4,14,0,4,5,0,0,0,7,16,4,7,14,7,0,0,3,14,0,0,4,12,0,0,0,10,10,4,10,12,0,0,0,1,9,16,14,2,0
"1475","3",3,0,2,10,16,16,2,0,0,0,10,15,9,16,4,0,0,0,5,3,6,16,2,0,0,0,0,2,15,16,5,0,0,0,0,1,10,14,16,3,0,0,0,5,1,0,13,10,0,0,0,16,13,10,15,11,0,0,0,11,16,16,13,3,0
"1476","3",3,0,0,8,13,11,1,0,0,0,4,15,5,12,6,0,0,0,0,0,0,10,4,0,0,0,0,0,6,16,4,0,0,0,0,0,5,13,15,3,0,0,0,1,0,0,7,12,0,0,1,15,8,7,12,12,0,0,0,6,14,16,15,5,0
"1477","7",7,0,0,3,13,16,16,13,0,0,0,11,14,8,15,9,0,0,0,3,5,2,14,2,0,0,0,0,0,9,11,1,0,0,0,2,15,15,16,9,0,0,0,2,15,14,8,2,0,0,0,0,11,10,0,0,0,0,0,2,15,4,0,0,0
"1478","3",3,0,1,11,16,16,4,0,0,0,7,16,8,14,11,0,0,0,0,0,10,16,6,0,0,0,0,0,15,16,6,0,0,0,0,0,0,8,16,2,0,0,1,5,0,0,14,9,0,0,4,16,10,11,16,6,0,0,1,13,16,16,10,0,0
"1479","3",3,0,1,12,16,16,9,0,0,0,2,14,5,9,14,0,0,0,0,0,1,12,11,0,0,0,0,0,12,16,6,0,0,0,0,0,2,8,15,5,0,0,0,2,0,0,11,9,0,0,4,14,4,4,14,6,0,0,0,15,16,16,11,1,0
"1480","4",4,0,0,0,10,10,0,0,0,0,0,6,15,3,0,0,0,0,0,15,6,5,1,0,0,0,7,15,2,16,3,5,0,0,11,11,6,16,15,10,0,0,12,16,16,16,8,1,0,0,4,8,13,12,0,0,0,0,0,0,13,9,0,0,0
"1481","6",6,0,0,2,12,1,0,0,0,0,0,6,13,0,0,0,0,0,0,13,4,0,0,0,0,0,0,16,1,0,0,0,0,0,5,16,16,16,10,1,0,0,2,15,6,1,10,8,0,0,0,10,10,0,9,9,0,0,0,2,12,16,15,1,0
"1482","6",6,0,0,4,15,1,0,0,0,0,0,9,10,0,0,0,0,0,1,15,2,0,0,0,0,0,4,12,0,0,0,0,0,0,8,14,9,8,6,1,0,0,7,14,7,5,12,8,0,0,2,16,4,1,12,6,0,0,0,5,14,16,11,0,0
"1483","6",6,0,0,2,16,8,0,0,0,0,0,8,15,5,0,0,0,0,2,16,7,0,0,0,0,0,3,16,7,5,1,0,0,0,7,16,16,16,15,3,0,0,5,16,12,4,10,14,0,0,0,14,13,5,10,15,0,0,0,3,13,16,16,7,0
"1484","4",4,0,0,0,6,14,0,0,0,0,0,4,15,4,0,0,0,0,1,13,9,4,7,0,0,0,7,13,1,13,10,6,0,0,14,14,8,16,16,10,0,0,7,15,16,16,7,1,0,0,0,0,6,16,0,0,0,0,0,0,10,13,0,0,0
"1485","9",9,0,1,10,13,9,2,0,0,0,2,12,4,12,10,0,0,0,0,14,5,11,11,0,0,0,0,2,8,8,15,2,0,0,0,0,0,0,12,5,0,0,0,0,0,0,4,12,0,0,0,4,1,0,8,11,0,0,0,11,16,16,14,3,0
"1486","9",1,0,0,0,1,9,16,7,0,0,0,4,13,16,16,2,0,0,8,16,15,13,16,3,0,0,3,7,0,8,16,2,0,0,0,0,0,8,16,5,0,0,0,0,0,8,16,4,0,0,0,0,0,8,16,8,0,0,0,0,0,12,16,7,0
"1487","5",5,0,0,7,8,6,8,4,0,0,0,12,13,12,12,5,0,0,0,13,0,0,0,0,0,0,5,15,12,9,2,0,0,0,3,8,7,8,15,2,0,0,0,0,0,0,6,8,0,0,0,6,0,1,13,4,0,0,0,7,15,15,5,0,0
"1488","0",0,0,0,7,16,15,1,0,0,0,5,16,13,16,8,0,0,0,9,11,0,4,16,4,0,0,12,8,0,0,11,11,0,0,11,8,0,0,8,12,0,0,8,13,0,0,12,10,0,0,2,16,9,12,15,3,0,0,0,8,16,13,5,0,0
"1489","9",9,0,4,15,14,11,2,0,0,0,7,10,1,11,11,0,0,0,1,13,4,13,16,2,0,0,0,3,11,7,9,6,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,0,0,3,12,0,3,13,5,0,0,2,13,16,16,8,0,0
"1490","5",5,0,0,11,12,13,14,4,0,0,0,13,8,4,4,2,0,0,0,11,0,0,0,0,0,0,5,12,6,3,0,0,0,0,5,12,12,13,11,0,0,0,0,2,0,0,13,0,0,0,4,11,0,3,15,0,0,0,0,9,16,16,6,0,0
"1491","2",2,0,2,15,13,1,0,0,0,0,13,12,14,7,0,0,0,0,8,6,6,13,0,0,0,0,0,0,5,15,0,0,0,0,0,0,11,10,0,0,0,0,0,2,16,5,0,0,0,0,0,11,16,13,14,12,0,0,3,16,14,8,8,7,0
"1492","2",8,0,0,2,9,13,12,2,0,0,1,14,13,7,10,6,0,0,0,13,8,1,7,7,0,0,0,3,13,14,14,0,0,0,0,0,0,15,15,1,0,0,0,0,9,5,8,5,0,0,0,0,13,4,13,2,0,0,0,0,13,15,6,0,0
"1493","2",2,0,4,16,16,3,0,0,0,0,11,14,11,11,0,0,0,0,11,7,2,16,1,0,0,0,0,0,3,16,0,0,0,0,0,0,10,12,0,0,0,0,0,3,16,8,5,3,0,0,0,12,16,16,16,16,0,0,3,16,15,8,7,4,0
"1494","0",0,0,0,10,13,5,0,0,0,0,3,16,16,16,10,0,0,0,8,16,1,6,16,5,0,0,8,11,0,0,9,12,0,0,10,8,0,0,8,12,0,0,8,11,0,0,8,11,0,0,3,16,10,8,15,9,0,0,0,9,16,16,10,1,0
"1495","0",0,0,0,2,11,10,1,0,0,0,0,10,13,14,13,0,0,0,0,13,0,0,14,5,0,0,3,9,0,0,9,6,0,0,5,9,0,0,5,8,0,0,6,12,0,0,8,4,0,0,0,14,11,5,14,1,0,0,0,3,13,14,5,0,0
"1496","9",1,0,0,0,0,6,16,7,0,0,1,5,11,16,16,8,0,0,11,16,16,13,16,8,0,0,3,7,1,4,16,8,0,0,0,0,0,5,16,8,0,0,0,0,0,5,16,7,0,0,0,0,0,7,16,9,0,0,0,0,0,8,16,8,0
"1497","4",7,0,0,2,13,16,9,0,0,0,0,12,12,7,16,3,0,0,1,14,3,0,16,4,0,0,0,0,4,10,16,6,0,0,0,0,13,16,16,9,0,0,0,0,5,13,1,0,0,0,0,0,11,9,0,0,0,0,0,1,16,4,0,0,0
"1498","6",6,0,0,0,14,4,0,0,0,0,0,6,13,1,0,0,0,0,0,15,4,0,0,0,0,0,4,16,7,4,2,0,0,0,8,16,11,9,15,5,0,0,5,14,1,0,10,9,0,0,0,11,12,5,13,5,0,0,0,1,13,16,9,0,0
"1499","3",3,0,1,9,15,13,4,0,0,0,5,12,4,10,6,0,0,0,0,0,3,15,2,0,0,0,0,0,15,13,1,0,0,0,0,0,2,9,14,2,0,0,0,0,0,0,11,8,0,0,0,10,6,4,11,7,0,0,0,8,15,16,9,1,0
"1500","2",2,0,5,16,13,1,0,0,0,0,9,14,14,4,0,0,0,0,9,7,12,4,0,0,0,0,0,0,13,4,0,0,0,0,0,2,16,1,0,0,0,0,0,7,13,0,0,0,0,0,1,15,16,16,16,11,0,0,5,16,14,10,8,6,0
"1501","9",1,0,0,0,3,12,12,2,0,0,0,7,15,16,16,0,0,0,4,15,9,14,16,3,0,0,2,0,0,14,16,0,0,0,0,0,0,14,16,0,0,0,0,0,0,15,13,0,0,0,0,0,0,16,14,1,0,0,0,0,3,16,13,2,0
"1502","4",7,0,0,2,13,16,14,1,0,0,0,11,12,7,16,3,0,0,0,9,3,2,16,3,0,0,0,0,0,9,11,0,0,0,0,2,11,15,13,3,0,0,0,4,15,16,13,3,0,0,0,0,14,8,0,0,0,0,0,5,15,4,0,0,0
"1503","4",4,0,0,0,7,13,0,0,0,0,0,0,14,6,0,0,0,0,0,10,10,2,6,0,0,0,3,16,3,9,13,2,0,0,11,12,6,14,16,10,0,0,11,16,16,16,10,3,0,0,2,8,10,16,1,0,0,0,0,0,9,13,0,0,0
"1504","6",6,0,0,0,13,3,0,0,0,0,0,6,15,0,0,0,0,0,0,12,7,0,0,0,0,0,0,16,10,7,1,0,0,0,6,16,12,13,16,6,0,0,0,16,4,0,6,12,0,0,0,12,10,2,11,9,0,0,0,1,13,16,15,3,0
"1505","3",3,0,0,13,16,16,5,0,0,0,5,15,6,11,13,0,0,0,0,2,2,13,8,0,0,0,0,4,16,15,2,0,0,0,0,3,11,15,16,5,0,0,0,0,0,2,15,11,0,0,0,3,4,9,16,6,0,0,0,15,16,16,10,0,0
"1506","9",1,0,0,0,0,9,16,4,0,0,0,0,5,15,16,2,0,0,3,12,16,16,14,0,0,0,10,16,15,16,15,0,0,0,1,4,0,16,13,0,0,0,0,0,0,15,13,0,0,0,0,0,0,12,16,12,0,0,0,0,0,12,16,6,0
"1507","3",3,0,0,11,16,12,2,0,0,0,7,16,6,10,13,0,0,0,0,2,0,3,16,0,0,0,0,0,3,12,9,0,0,0,0,0,10,16,12,0,0,0,0,3,0,3,15,7,0,0,3,16,7,6,14,8,0,0,1,9,15,16,12,1,0
"1508","9",9,0,0,5,13,14,5,0,0,0,2,15,6,11,15,1,0,0,1,16,5,8,16,4,0,0,0,4,12,9,13,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,11,7,0,0,0,7,7,5,15,2,0,0,0,5,15,16,7,0,0
"1509","9",1,0,0,0,0,5,15,3,0,0,0,0,3,15,16,4,0,0,3,13,16,14,16,1,0,0,2,7,4,8,16,0,0,0,0,0,0,8,14,0,0,0,0,0,0,7,16,1,0,0,0,0,0,9,16,6,0,0,0,0,0,8,15,2,0
"1510","4",7,0,0,2,13,16,13,4,0,0,0,9,11,9,16,7,0,0,2,15,2,2,15,2,0,0,3,3,0,8,13,2,0,0,0,1,13,16,16,10,0,0,0,0,11,13,5,1,0,0,0,0,11,6,0,0,0,0,0,3,15,2,0,0,0
"1511","6",6,0,0,0,12,10,0,0,0,0,0,4,15,7,0,0,0,0,0,15,4,0,0,0,0,0,1,16,7,1,0,0,0,0,4,16,14,16,13,1,0,0,1,16,0,1,10,11,0,0,0,14,9,1,8,12,0,0,0,2,10,16,16,5,0
"1512","2",8,0,0,3,12,16,9,0,0,0,0,12,9,13,16,9,0,0,3,16,5,0,8,12,0,0,0,9,16,10,13,2,0,0,0,0,4,16,12,0,0,0,0,0,11,9,16,0,0,0,0,1,15,2,12,0,0,0,0,2,16,16,6,0,0
"1513","4",4,0,0,0,10,6,0,0,0,0,0,4,16,2,3,0,0,0,0,13,8,7,14,0,0,0,7,15,0,13,14,5,0,0,14,15,14,16,16,9,0,0,13,16,15,16,6,0,0,0,0,1,9,14,0,0,0,0,0,0,14,10,0,0,0
"1514","3",3,0,0,5,12,13,3,0,0,0,4,16,9,8,12,0,0,0,2,3,0,5,11,0,0,0,0,0,3,11,10,0,0,0,0,0,6,14,15,3,0,0,0,0,0,0,7,11,0,0,0,10,6,4,9,11,0,0,0,6,16,16,14,2,0
"1515","9",1,0,0,0,0,5,15,6,0,0,0,0,4,15,16,4,0,0,3,11,16,10,16,4,0,0,4,11,3,0,16,4,0,0,0,0,0,1,16,4,0,0,0,0,0,3,16,3,0,0,0,0,0,5,16,4,0,0,0,0,0,6,15,4,0
"1516","4",4,0,0,0,14,8,0,0,0,0,0,3,16,3,0,0,0,0,0,12,9,9,7,0,0,0,6,15,1,14,11,6,0,0,13,14,8,16,16,7,0,0,8,16,16,16,3,0,0,0,0,1,11,14,0,0,0,0,0,0,14,14,0,0,0
"1517","0",0,0,0,4,12,5,0,0,0,0,0,12,14,15,7,0,0,0,2,14,1,2,16,0,0,0,4,8,0,0,10,4,0,0,7,8,0,0,6,8,0,0,4,11,0,0,5,8,0,0,0,14,11,3,13,5,0,0,0,2,11,16,11,0,0
"1518","5",5,0,0,9,12,12,13,7,0,0,0,15,5,5,4,2,0,0,4,15,10,4,0,0,0,0,2,11,11,15,11,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,7,7,0,0,5,11,4,5,14,1,0,0,0,9,16,13,3,0,0
"1519","3",3,0,0,8,15,12,4,0,0,0,5,14,4,11,7,0,0,0,0,0,1,14,3,0,0,0,0,2,15,14,1,0,0,0,0,0,8,13,11,0,0,0,0,0,0,0,13,5,0,0,0,12,2,3,12,7,0,0,0,13,16,15,8,0,0
"1520","6",6,0,0,0,10,8,0,0,0,0,0,6,14,3,0,0,0,0,0,11,8,0,0,0,0,0,3,16,8,2,0,0,0,0,6,16,16,16,15,3,0,0,0,16,2,0,8,12,0,0,0,11,12,5,11,12,0,0,0,1,8,16,15,2,0
"1521","9",9,0,2,11,13,11,2,0,0,0,7,12,4,13,8,0,0,0,6,13,5,14,13,0,0,0,0,3,11,9,11,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,11,0,0,0,2,0,1,9,10,0,0,1,15,16,16,14,2,0
"1522","6",6,0,0,0,7,15,0,0,0,0,0,6,15,8,0,0,0,0,0,13,9,0,0,0,0,0,2,16,5,4,1,0,0,0,5,16,16,16,12,3,0,0,1,15,4,1,8,12,0,0,0,8,14,5,5,15,0,0,0,0,6,16,16,11,0
"1523","9",1,0,0,0,1,10,16,8,0,0,1,8,15,16,16,9,0,0,10,16,13,11,16,8,0,0,1,4,0,10,16,4,0,0,0,0,0,12,16,0,0,0,0,0,0,12,16,0,0,0,0,0,0,12,16,3,0,0,0,0,0,10,16,7,0
"1524","4",7,0,0,3,13,16,15,6,0,0,0,13,13,9,16,10,0,0,0,16,9,0,14,6,0,0,0,14,2,6,15,0,0,0,0,0,5,15,15,6,0,0,0,0,16,15,10,2,0,0,0,0,13,11,0,0,0,0,0,4,16,7,0,0,0
"1525","5",5,0,0,9,9,12,12,0,0,0,0,14,10,8,3,0,0,0,0,13,6,3,0,0,0,0,0,13,16,15,12,2,0,0,0,0,0,0,5,9,0,0,0,0,0,0,2,12,0,0,0,5,1,2,11,8,0,0,0,10,16,16,11,1,0
"1526","4",4,0,0,0,9,10,0,0,0,0,0,3,16,4,0,0,0,0,0,12,8,2,7,0,0,0,4,16,3,13,13,3,0,0,14,13,8,16,16,10,0,0,14,16,16,16,9,1,0,0,2,4,9,16,1,0,0,0,0,0,9,15,2,0,0
"1527","4",4,0,0,2,15,5,0,0,0,0,0,9,15,0,1,0,0,0,0,14,9,9,9,0,0,0,8,16,4,16,13,12,0,0,13,16,16,16,15,7,0,0,3,8,13,12,2,0,0,0,0,0,14,10,0,0,0,0,0,3,16,7,0,0,0
"1528","7",7,0,0,1,12,16,16,12,0,0,0,7,16,11,12,9,0,0,0,6,7,0,14,4,0,0,0,0,0,6,16,3,0,0,0,0,10,16,16,9,0,0,0,0,8,15,5,0,0,0,0,0,8,10,0,0,0,0,0,0,16,5,0,0,0
"1529","2",2,0,3,15,16,8,0,0,0,0,14,13,10,16,2,0,0,0,5,3,2,16,2,0,0,0,0,0,3,16,2,0,0,0,0,0,9,12,0,0,0,0,0,1,16,8,0,2,0,0,0,8,16,14,16,15,0,0,2,16,16,15,12,9,0
"1530","2",8,0,0,1,10,16,15,5,0,0,0,12,12,9,9,10,0,0,4,16,1,0,7,7,0,0,4,14,13,8,11,0,0,0,0,1,6,16,14,1,0,0,0,0,8,11,14,5,0,0,0,0,12,8,15,2,0,0,0,0,10,15,5,0,0
"1531","2",2,0,1,13,16,15,5,0,0,0,4,16,7,14,12,0,0,0,3,12,2,11,10,0,0,0,0,0,0,14,8,0,0,0,0,0,3,16,4,0,0,0,0,1,11,13,0,0,0,0,0,9,16,14,16,7,0,0,1,16,16,15,12,5,0
"1532","2",2,0,2,15,13,2,0,0,0,0,7,16,13,15,0,0,0,0,11,11,5,16,4,0,0,0,1,1,7,16,1,0,0,0,0,0,12,11,0,0,0,0,0,4,16,8,8,2,0,0,0,12,16,16,16,11,0,0,2,15,13,6,4,1,0
"1533","5",5,0,0,15,14,15,9,0,0,0,0,12,10,7,6,4,0,0,1,14,2,0,0,0,0,0,5,16,12,10,4,0,0,0,4,11,8,11,15,5,0,0,0,0,0,0,13,7,0,0,4,16,10,11,14,1,0,0,1,10,16,15,4,0,0
"1534","4",7,0,0,2,13,16,16,7,0,0,0,12,15,12,16,10,0,0,0,16,9,0,14,6,0,0,0,3,0,4,16,1,0,0,0,0,10,14,16,6,0,0,0,3,16,16,11,2,0,0,0,0,9,14,0,0,0,0,0,2,15,6,0,0,0
"1535","9",9,0,0,10,8,8,4,0,0,0,8,15,12,14,14,0,0,0,9,11,0,10,16,4,0,0,1,9,12,10,12,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,10,7,0,0,0,11,6,4,15,4,0,0,0,13,16,16,7,0,0
"1536","5",5,0,1,13,14,16,14,3,0,0,4,14,8,7,3,0,0,0,6,11,0,0,0,0,0,0,5,16,15,11,5,0,0,0,2,7,7,10,16,0,0,0,0,0,0,3,16,0,0,0,0,7,5,13,11,0,0,0,0,15,16,10,1,0,0
"1537","4",4,0,0,0,13,9,0,0,0,0,0,4,15,3,0,0,0,0,0,11,9,6,4,0,0,0,5,16,3,13,8,1,0,0,14,16,9,16,16,9,0,0,12,16,16,16,11,3,0,0,0,4,12,14,0,0,0,0,0,0,12,10,0,0,0
"1538","2",8,0,0,1,8,15,11,3,0,0,0,11,12,9,14,11,0,0,2,14,0,0,13,6,0,0,7,15,8,12,9,0,0,0,0,6,13,16,8,0,0,0,0,0,13,9,15,4,0,0,0,0,16,8,14,3,0,0,0,0,11,15,8,0,0
"1539","2",8,0,0,2,11,14,12,3,0,0,0,14,14,9,15,8,0,0,5,12,0,5,15,2,0,0,3,16,11,15,3,0,0,0,0,1,14,16,4,0,0,0,0,0,15,5,15,0,0,0,0,1,16,10,11,0,0,0,0,0,15,13,2,0,0
"1540","4",4,0,0,0,7,16,2,0,0,0,0,0,15,11,0,0,0,0,0,11,14,6,5,0,0,0,4,16,7,14,13,2,0,0,10,16,13,16,16,10,0,0,8,15,14,16,10,1,0,0,0,0,9,16,1,0,0,0,0,0,9,15,1,0,0
"1541","3",9,0,0,6,16,16,11,0,0,0,1,16,8,8,16,6,0,0,0,8,16,14,16,11,0,0,0,1,4,3,10,8,0,0,0,0,0,0,9,7,0,0,0,0,0,1,14,1,0,0,0,4,7,11,9,0,0,0,0,9,16,10,1,0,0
"1542","0",0,0,0,5,12,9,1,0,0,0,0,14,14,13,13,0,0,0,3,12,1,1,13,4,0,0,7,8,0,0,6,8,0,0,8,8,0,0,5,8,0,0,5,10,0,0,11,4,0,0,1,15,9,11,13,0,0,0,0,7,15,12,2,0,0
"1543","2",8,0,0,2,9,15,12,5,0,0,0,12,11,11,12,11,0,0,1,16,1,0,8,11,0,0,3,15,12,10,15,2,0,0,0,1,11,16,9,0,0,0,0,0,11,15,12,0,0,0,0,0,12,15,8,0,0,0,0,0,10,13,2,0,0
"1544","9",9,0,0,9,13,15,10,1,0,0,1,15,5,7,16,5,0,0,0,15,7,10,16,6,0,0,0,2,7,7,10,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,11,5,0,0,0,14,6,10,12,0,0,0,0,9,16,12,1,0,0
"1545","2",8,0,0,1,10,11,2,0,0,0,0,12,12,8,15,4,0,0,6,11,0,1,12,7,0,0,4,16,7,15,12,0,0,0,0,5,15,15,3,0,0,0,0,0,14,7,14,0,0,0,0,4,12,7,10,0,0,0,0,1,16,16,3,0,0
"1546","0",0,0,0,4,16,15,2,0,0,0,0,11,16,13,13,0,0,0,1,16,8,1,16,2,0,0,7,16,6,0,11,8,0,0,7,16,4,0,11,8,0,0,4,15,1,1,15,7,0,0,0,13,12,14,15,1,0,0,0,3,14,16,6,0,0
"1547","4",1,0,0,0,14,10,0,0,0,0,0,3,16,16,3,0,0,0,0,7,16,16,7,0,0,0,0,12,16,16,5,0,0,0,0,4,15,16,6,0,0,0,0,0,13,16,0,0,0,0,0,0,14,12,0,0,0,0,0,0,10,10,0,0,0
"1548","2",2,0,0,5,13,7,0,0,0,0,0,12,12,14,2,0,0,0,0,12,0,12,6,0,0,0,0,6,1,15,3,0,0,0,0,0,6,11,0,0,0,0,0,5,14,3,0,0,0,0,0,11,16,8,2,6,3,0,0,4,8,10,16,12,1
"1549","3",3,0,0,4,16,16,9,0,0,0,0,1,9,10,16,1,0,0,0,0,5,15,16,1,0,0,0,0,10,16,5,0,0,0,0,0,2,16,6,0,0,0,0,0,0,10,10,0,0,0,0,11,8,12,14,1,0,0,0,5,13,16,15,0,0
"1550","4",4,0,0,1,15,6,0,0,0,0,0,8,16,2,0,0,0,0,0,15,11,0,7,4,0,0,8,16,10,6,16,9,0,0,6,16,16,16,16,4,0,0,0,5,11,16,13,0,0,0,0,0,12,15,3,0,0,0,0,0,15,11,0,0,0
"1551","5",5,0,0,11,14,16,10,0,0,0,6,15,8,6,4,0,0,0,5,12,2,0,0,0,0,0,12,16,15,1,0,0,0,0,3,11,11,6,0,0,0,0,0,0,12,10,0,0,0,0,0,5,16,9,0,0,0,0,0,13,16,3,0,0,0
